uniqueId,oldValue,reason
20260320-000,chưa biết,chưa biết
20260314-007,chưa biết,chưa biết
20260321-005,chưa biết,chưa biết
20260316-015,chưa biết,chưa biết
20260316-018,chưa biết,chưa biết
20260314-013,chưa biết,chưa biết
20260314-009,chưa biết,chưa biết
20260321-004,chưa biết,chưa biết
20260316-019,chưa biết,chưa biết
20260323-022,chưa biết,chưa biết
20260314-012,chưa biết,chưa biết
20260323-003,chưa biết,chưa biết
20260320-001,chưa biết,chưa biết
20260323-007,chưa biết,chưa biết
20260513-07,chưa biết,chưa biết
20260323-023,chưa biết,chưa biết
20260320-015,chưa biết,chưa biết
20260320-014,chưa biết,chưa biết
20260320-009,chưa biết,chưa biết
20260323-025,chưa biết,chưa biết
20260320-010,chưa biết,chưa biết
20260320-013,chưa biết,chưa biết
20260320-012,chưa biết,chưa biết
20260320-016,chưa biết,chưa biết
20260320-018,chưa biết,chưa biết
20260512-71,chưa biết,chưa biết
20260320-029,chưa biết,chưa biết
20260513-08,chưa biết,chưa biết
20260320-046,chưa biết,chưa biết
20260320-032,chưa biết,chưa biết
20260320-031,chưa biết,chưa biết
20260320-033,chưa biết,chưa biết
20260320-030,chưa biết,chưa biết
20260320-038,chưa biết,chưa biết
20260320-055,chưa biết,chưa biết
20260320-064,chưa biết,chưa biết
20260512-73,1000,year < 1980 (1000)
20260320-056,chưa biết,chưa biết
20260323-038,chưa biết,chưa biết
20260323-035,chưa biết,chưa biết
20260323-034,chưa biết,chưa biết
20260513-09,chưa biết,chưa biết
20260320-050,chưa biết,chưa biết
20260320-071,chưa biết,chưa biết
20260320-079,chưa biết,chưa biết
20260320-041,chưa biết,chưa biết
20260320-081,chưa biết,chưa biết
20260323-040,chưa biết,chưa biết
20260320-096,chưa biết,chưa biết
20260323-044,chưa biết,chưa biết
20260320-076,chưa biết,chưa biết
20260320-080,chưa biết,chưa biết
20260320-097,chưa biết,chưa biết
20260320-077,chưa biết,chưa biết
20260320-073,chưa biết,chưa biết
20260320-084,chưa biết,chưa biết
20260320-087,chưa biết,chưa biết
20260512-74,chưa biết,chưa biết
20260323-004,chưa biết,chưa biết
20260320-103,chưa biết,chưa biết
20260513-10,chưa biết,chưa biết
20260512-75,chưa biết,chưa biết
20260323-008,chưa biết,chưa biết
20260321-002,chưa biết,chưa biết
20260321-003,chưa biết,chưa biết
20260511-39,chưa biết,chưa biết
20260321-001,chưa biết,chưa biết
20260320-101,chưa biết,chưa biết
20260320-107,chưa biết,chưa biết
20260323-009,chưa biết,chưa biết
20260323-010,chưa biết,chưa biết
20260323-002,chưa biết,chưa biết
20260320-106,chưa biết,chưa biết
20260320-104,chưa biết,chưa biết
20260323-032,chưa biết,chưa biết
20260323-018,chưa biết,chưa biết
20260323-019,chưa biết,chưa biết
20260513-11,chưa biết,chưa biết
20260323-037,chưa biết,chưa biết
20260323-047,chưa biết,chưa biết
20260323-028,chưa biết,chưa biết
20260323-039,chưa biết,chưa biết
20260323-036,chưa biết,chưa biết
20260323-041,chưa biết,chưa biết
20260512-76,chưa biết,chưa biết
20260513-12,chưa biết,chưa biết
20260323-053,chưa biết,chưa biết
20260323-054,chưa biết,chưa biết
20260323-055,chưa biết,chưa biết
20260406-003,06/10/2010,year < 1980 (6)
20260512-65,chưa biết,chưa biết
20260513-13,chưa biết,chưa biết
20260512-77,chưa biết,chưa biết
20260513-14,chưa biết,chưa biết
20260512-78,chưa biết,chưa biết
20260320-045,chưa biết,chưa biết
20260320-051,chưa biết,chưa biết
20260320-006,chưa biết,chưa biết
20260320-053,chưa biết,chưa biết
20260320-052,chưa biết,chưa biết
20260320-054,chưa biết,chưa biết
20260320-091,chưa biết,chưa biết
20260320-059,chưa biết,chưa biết
20260512-79,chưa biết,chưa biết
20260418-036,1971,year < 1980 (1971)
20260418-042,1977,year < 1980 (1977)
20260418-038,1943,year < 1980 (1943)
20260320-061,chưa biết,chưa biết
20260320-060,chưa biết,chưa biết
20260323-030,chưa biết,chưa biết
20260320-065,chưa biết,chưa biết
20260320-062,chưa biết,chưa biết
20260323-026,chưa biết,chưa biết
20260323-033,chưa biết,chưa biết
20260323-020,chưa biết,chưa biết
20260320-072,chưa biết,chưa biết
20260320-070,chưa biết,chưa biết
20260323-048,chưa biết,chưa biết
20260512-81,chưa biết,chưa biết
20260320-094,chưa biết,chưa biết
20260320-036,chưa biết,chưa biết
20260320-037,chưa biết,chưa biết
20260320-040,chưa biết,chưa biết
20260314-011,chưa biết,chưa biết
20260511-54,chưa biết,chưa biết
20260320-078,chưa biết,chưa biết
20260320-028,chưa biết,chưa biết
20260320-017,chưa biết,chưa biết
20260320-021,chưa biết,chưa biết
20260320-020,chưa biết,chưa biết
20260320-019,chưa biết,chưa biết
20260511-55,chưa biết,chưa biết
20260420-114,1000,year < 1980 (1000)
20260320-068,chưa biết,chưa biết
20260511-56,chưa biết,chưa biết
20260320-088,chưa biết,chưa biết
20260320-089,chưa biết,chưa biết
20260511-57,chưa biết,chưa biết
20260320-095,chưa biết,chưa biết
20260323-042,chưa biết,chưa biết
20260314-010,chưa biết,chưa biết
20260320-004,chưa biết,chưa biết
20260421-101,chưa biết,chưa biết
20260320-100,chưa biết,chưa biết
20260320-057,chưa biết,chưa biết
20260320-074,chưa biết,chưa biết
20260320-048,chưa biết,chưa biết
20260320-049,chưa biết,chưa biết
20260320-044,chưa biết,chưa biết
20260320-043,chưa biết,chưa biết
20260320-042,chưa biết,chưa biết
20260323-050,chưa biết,chưa biết
20260511-53,15/11/2008,year < 1980 (15)
20260323-006,chưa biết,chưa biết
20260513-03,1000,year < 1980 (1000)
20260320-075,chưa biết,chưa biết
20260513-16,chưa biết,chưa biết
20260320-105,chưa biết,chưa biết
20260512-02,1000,year < 1980 (1000)
20260513-04,chưa biết,chưa biết
20260513-05,1000,year < 1980 (1000)
20260320-069,chưa biết,chưa biết
20260323-043,chưa biết,chưa biết
20260512-03,chưa biết,chưa biết
20260513-06,1000,year < 1980 (1000)
20260323-052,chưa biết,chưa biết
20260512-04,chưa biết,chưa biết
20260512-05,chưa biết,chưa biết
20260320-066,chưa biết,chưa biết
20260512-06,chưa biết,chưa biết
20260512-07,chưa biết,chưa biết
20260512-08,chưa biết,chưa biết
20260512-09,chưa biết,chưa biết
20260316-016,chưa biết,chưa biết
20260508-02,chưa biết,chưa biết
20260320-023,chưa biết,chưa biết
20260512-10,chưa biết,chưa biết
20260320-022,chưa biết,chưa biết
20260314-008,chưa biết,chưa biết
20260512-11,chưa biết,chưa biết
20260422-04,chưa biết,chưa biết
20260406-039,9/7/2010,year < 1980 (9)
20260512-12,chưa biết,chưa biết
20260323-024,chưa biết,chưa biết
20260512-13,chưa biết,chưa biết
20260512-14,chưa biết,chưa biết
20260512-15,chưa biết,chưa biết
20260323-021,chưa biết,chưa biết
20260323-005,chưa biết,chưa biết
20260420-087,1979,year < 1980 (1979)
20260512-16,chưa biết,chưa biết
20260321-007,chưa biết,chưa biết
20260320-099,chưa biết,chưa biết
20260512-17,chưa biết,chưa biết
20260512-18,chưa biết,chưa biết
20260320-034,chưa biết,chưa biết
20260320-083,chưa biết,chưa biết
20260512-19,chưa biết,chưa biết
20260320-063,chưa biết,chưa biết
20260512-21,chưa biết,chưa biết
20260512-22,chưa biết,chưa biết
20260512-23,chưa biết,chưa biết
20260512-24,chưa biết,chưa biết
20260512-25,chưa biết,chưa biết
20260512-26,chưa biết,chưa biết
20260320-002,chưa biết,chưa biết
20260513-43,chưa biết,chưa biết
20260512-27,chưa biết,chưa biết
20260512-28,chưa biết,chưa biết
20260512-29,chưa biết,chưa biết
20260512-30,chưa biết,chưa biết
20260420-250,chưa biết,chưa biết
20260505-04,1000,year < 1980 (1000)
20260513-47,chưa biết,chưa biết
20260512-31,chưa biết,chưa biết
20260511-33,1000,year < 1980 (1000)
20260422-06,chưa biết,chưa biết
20260513-48,chưa biết,chưa biết
20260422-03,chưa biết,chưa biết
