old_id,name,start_date,end_date,old_category,is_active,destination,group,type,sub_type
891,Walk-in,2026-06-03,2028-12-31,Client/Staff/Walk-in,true,,,,
890,YOOTEDU 06-2026,2026-06-01,2026-06-30,Database,true,,,,
889,workshop asdfa,,,,false,,,,
888,Workshop Sunwah D3,2026-05-31,2026-05-31,Campaign,true,,,,
887,Workshop KPMG x Sunwah Q7,2026-05-29,2026-05-29,Campaign,true,,,,
886,Workshop KPMG x Sunwah Q1,2026-05-29,2026-05-29,Campaign,true,,,,
885,Ex-Client,2026-05-28,2026-12-31,Client/Staff/Walk-in,true,,,,
884,Tiger Band - Tri Quang Education Center,2026-05-25,2026-12-31,Campaign,true,,,,
883,ebook scholarship hunting,2026-05-27,2026-12-31,Campaign,true,,,,
882,Alumni Referral,2026-05-26,2027-12-31,Client/Staff/Walk-in,true,,,,
881,Tran Phu HighSchool HN - Parent Meeting (24/05/2026),2026-05-24,2026-05-24,Event,true,,,,
880,Phan Dinh Phung HighSchool HN - Parent Meeting (23/05/2026),2026-05-23,2026-05-23,Event,true,,,,
879,Tiger Band - DHKHTN Education Center,2026-05-21,2026-08-31,Event,true,,,,
878,Tiger Band - Ly Tu Trong Education Center,2026-05-21,2026-08-31,Campaign,true,,,,
877,Bui Thi Xuan Highschool - Parent Meeting Event (23/05/2026),2026-05-23,2026-05-23,Event,true,,,,
876,Viet Anh 3 School - Parent Meeting (23/05/2026),2026-05-23,2026-05-23,Event,true,,,,
875,Le Quy Don Highschool - Parent Meeting Event (23/05/2026),2026-05-23,2026-05-23,Event,true,,,,
874,Tran Dai Nghia Chuyen School D.1 - Parent Meeting Event (24/05/2026),2026-05-24,2026-05-24,Event,true,,,,
873,Instagram MKT,2026-05-19,2026-12-31,FB/Zalo/Google/TikTok/Instagram (Online),true,,,,
872,Zalo MKT,2026-05-19,2026-12-31,FB/Zalo/Google/TikTok/Instagram (Online),true,,,,
871,Hotline StudyLink,2026-05-19,2026-12-31,FB/Zalo/Google/TikTok/Instagram (Online),true,,,,
870,Facebook MKT,2026-05-19,2026-12-31,FB/Zalo/Google/TikTok/Instagram (Online),true,,,,
868,Email MKT,2026-05-18,2026-12-31,FB/Zalo/Google/TikTok/Instagram (Online),true,,,,
865,Digital MKT,2026-05-19,2026-12-31,FB/Zalo/Google/TikTok/Instagram (Online),true,,,,
864,Tran Dai Nghia Thuong School - Parent Meeting Event,2026-05-17,2026-05-18,Event,true,,,,
863,Tran Dai Nghia Chuyen School - Parent Meeting Event,2026-05-17,2026-05-19,Event,true,,,,
861,PTNK Binh Duong School - Parent Meeting Event,2026-05-16,2026-05-20,Event,true,,,,
860,PTNK HCM School - Parent Meeting Event,2026-05-16,2026-05-18,Event,true,,,,
859,Royal School - Parent Meeting Event,2026-05-17,2026-05-17,Event,true,,,,
858,PTNK Parent Meeting Event,2026-05-16,2026-05-16,,false,,,,
852,PTNK - Parent Meeting Event,,,,false,,,,
848,PTNK Binh Duong School,,,,false,,,,
841,Parent Meeting Event,,,,false,,,,
840,Royal School,,,,false,,,,
839,Sunwah Education - ESG seminar,2026-05-11,2026-05-11,Campaign,true,,,,
838,Singapore International School,2026-05-12,2026-05-13,Campaign,true,,,,
837,Top Universities 2026,2026-04-18,2026-04-18,Campaign,true,,,,
836,Viet Anh School visit,2026-03-09,2026-03-18,Event,true,,,,
